Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active,Latitude (degrees),Longitude (degrees),Height (m),Velocity North (m/s),Velocity East (m/s),Velocity Down (m/s),Acceleration X (m/s/s),Acceleration Y (m/s/s),Acceleration Z (m/s/s),G Force (g),Roll (degrees),Pitch (degrees),Heading (degrees),Angular Velocity X (degrees/s),Angular Velocity Y (degrees/s),Angular Velocity Z (degrees/s),Latitude Error (m),Longitude Error (m),Height Error (m)
Wed Jan 01 01:04:23 CET 2020,1577837063,950790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.587964355697834,1.0041083866132978,308.87945067516125,-2.9616012912057292,-3.0203415251957653,-3.955666415881459,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,50790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.101611580864727,0.8477887309368656,308.29219768873077,5.169370692607196,-2.6732889887287086,-7.716280842905141,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,150789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.523928751935278,1.149258330376045,307.54019446824026,-5.683001525320082,1.6475794458463282,-10.087219213682728,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,250790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.452621984282834,2.1421910855783772,306.4554074318049,9.540805901465486,8.433419135104316,-12.0590784346114,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,350790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.582018759507944,3.125154268995187,305.8939743818208,21.611889076562104,8.331583139527167,-9.358995979806567,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,450790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.697428513977105,3.40777049726838,305.73528571297624,-8.659200903947887,2.076392685882032,-4.246934217103335,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,550790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.599274956709554,3.0660546152728267,305.63303565615337,19.193197058747415,-3.854775111357514,-2.6133496770843814,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,650809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.397253139258732,2.395404260166555,305.5229366495003,-1.8981018294654841,-6.756386092173114,0.27900372224842596,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,750790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.999361331788073,2.3078089054449205,305.9306157664242,6.000548251700609,-0.451099540169529,1.9616203120168794,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,850790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.423611398330282,2.9295352226543168,306.4706196291243,4.069515044606862,6.800039197196499,1.7450635484483075,0.0,0.0,50.0
Wed Jan 01 01:04:24 CET 2020,1577837064,950790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,-1.43144073694989E-125,-1.43144073694989E-125,-2.8735182454018313E-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.297228813413433,2.8240418884495986,306.39259640506947,-11.298796417718941,-1.2398460668640534,-0.5578896237336691,0.0,0.0,50.0
