TID;X;Y;Vinkel
2023-01-10 19:23:59.007881;57;592;5,499701142
2023-01-10 19:24:01.067905;21;586;2,052383445
2023-01-10 19:24:03.147908;-19;564;-1,929447295
2023-01-10 19:24:06.737803;8;563;0,814094831
2023-01-10 19:24:08.697814;-2;559;-0,20499297
2023-01-10 19:24:10.647800;10;564;1,015776181
2023-01-10 19:24:12.607875;19;560;1,943218533
2023-01-10 19:24:14.577823;-7;565;-0,709822898
2023-01-10 19:24:16.557634;-31;566;-3,134975815
2023-01-10 19:24:18.537662;-2;569;-0,201390311
2023-01-10 19:24:20.537595;6;569;0,60415103
